Date,Source,Contact,Contact Group,Description,Description_Clean,Category,Match_Score,Matched_Rule,Auto_Approved,Suggestion_1,Suggestion_2,Suggestion_3
23 Sep 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
25 Sep 2022,Spend Money,Curb Mobility,,Curb Mobility,curb mobility,Travelling,100.0,curb mobility,True,,,
26 Sep 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
27 Sep 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
27 Sep 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
27 Sep 2022,Spend Money,Gett,,Gett,gett,Travelling,100.0,gett,True,,,
28 Sep 2022,Spend Money,Trainline,,Trainline,trainline,Travelling,100.0,trainline,True,,,
28 Sep 2022,Spend Money,Cabvision,,Cabvision,cabvision,Travelling,100.0,cabvision,True,,,
28 Sep 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
29 Sep 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
29 Sep 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
30 Sep 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
30 Sep 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
01 Oct 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
01 Oct 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
03 Oct 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
03 Oct 2022,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
04 Oct 2022,Spend Money,EVCharge,,EVCharge,evcharge,Travelling,100.0,evcharge,True,,,
04 Oct 2022,Spend Money,TFL London,,TFL London,tfl london,Travelling,100.0,tfl london,True,,,
04 Oct 2022,Spend Money,Citycab,,Citycab,citycab,Travelling,100.0,citycab,True,,,
04 Oct 2022,Spend Money,Citycab,,Citycab,citycab,Travelling,100.0,citycab,True,,,
06 Oct 2022,Spend Money,Citycab,,Citycab,citycab,Travelling,100.0,citycab,True,,,
06 Oct 2022,Spend Money,Citycab,,Citycab,citycab,Travelling,100.0,citycab,True,,,
