Date,Source,Contact,Contact Group,Description,Description_Clean,Category,Match_Score,Matched_Rule,Auto_Approved,Suggestion_1,Suggestion_2,Suggestion_3
03 May 2023,Spend Money,The Travel Company - BCD Travel,,The Travel Company - BCD Travel,the travel company bcd travel,Travelling,100.0,the travel company bcd travel,True,,,
03 May 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
04 May 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
05 May 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
08 May 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
09 May 2023,Spend Money,Business Car Service,,Business Car Service,business car service,Travelling,100.0,business car service,True,,,
10 May 2023,Spend Money,EVCharge,,EVCharge,evcharge,Travelling,100.0,evcharge,True,,,
11 May 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
11 May 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
11 May 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
12 May 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
13 May 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
13 May 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
