text1,text2
FEB25 Paymentsense bal to deposits - FEB25 Paymentsense bal to deposits,Customer Deposits Held
MAR25 Paymentsense bal to deposits - MAR25 Paymentsense bal to deposits,Customer Deposits Held
MAY25 Paymentsense bal to deposits - MAY25 Paymentsense bal to deposits,Customer Deposits Held
Customer Deposits Correction W/O - Customer Deposits Correction W/O (re: May-24 Elemis trivial diff),Customer Deposits Held
Luca Pilato,Decoration
RAYMENT SIGNS,Decoration
TheAudioAbode,Decoration
Candle King,Decorations
Toby Birtwistle & Co,DESIGN Professional Fees
Wallet Load,Directors' Loan Account
KICKSTARTER.COM,Donations
GOODBOX SALFORD,Donations
ORCHID CANCER APPE LONDON,Donations
JustGiving,Donations
The Vineyard,Entertainment
Personal,Entertainment
Absolute Taste,Entertainment
STAR (BAGAWAN),Entertainment
QUAICH SINGAPORE,Entertainment
Morton's Of Chicago,Entertainment
OSTERIA ROMANA,Entertainment
THE GRENADIER,Entertainment
THE REAL PIZZA COM RIDGE FARM,Entertainment
THESURREYOAKS THESURREY PARKGATE,Entertainment
COWORTH PARK            LONDON,Entertainment
Belvedere Arms,Entertainment
THESURREYOAKS,Entertainment
Dorian Restaurant,Entertainment
Below Soho,Entertainment
Regal Music Limited,Equipment
Lightspeed Billing UK,Equipment
FEVER UK,Events
Vinterior Group,"Furniture, Fixtures and Equipment"
Mini Do Mini Com,"Furniture, Fixtures and Equipment"
Westminster City Council,General Rates
LBTH RATES 65182266 - FG002 Draywalk 2013/2014 onwards,General Rates
LBTH RATES 66213684 G1-110 1st Flr G Block,General Rates
LBTH RATES 66224518 - FG003 Draywalk,General Rates
LBTH RATES 65115411 - FG001 Draywalk 2013/2014 onwards,General Rates
Tower Hamlets,General Rates
LBTH RATES 66305107 - FG004 15 Hanbury St. 2023/2024,General Rates
LBTH RATES 66305107 - FG004 15 Hanbury St. 2024/2025,General Rates
Choose Love,Gifts and Samples
Cambridge Satchel Company Limi,Gifts and Samples
J Price Bath Ltd,Gifts and Samples
Soho House,Gifts and Samples
Selfridges London,Gifts and Samples
Jason Shulman,Gifts and Samples
Heckfield Place,Gifts and Samples
Experience gift,Gifts and Samples
The Kitchen Box,Glassware
Bupa Central,Healthcare
The Portobello Clinic,Healthcare
Before The Lights Ltd,Healthcare
The Portobello Pharmacy,Healthcare
Private Consultant London,Healthcare
Mallon & Taub,Healthcare
90 Sloane Street Limited,Healthcare
Dr Martin GP LTD,Healthcare
Suzie Orbach,Healthcare
EAPEN & CO. LIMITED,Healthcare
Boots,Healthcare
Hilcrest Pharmacy London,Healthcare
National Pathology,Healthcare
OneWelbeck Imaging & Diagnostics,Healthcare
Tom Davies,Healthcare
Oliver James Warren,Healthcare
Kensington Physio,Healthcare
Princess Grace Hospital,Healthcare
London Medical,Healthcare
Hillcrest Pharmacy,Healthcare
Nationwide Pathology,Healthcare
WTF Therapy,Healthcare
Omid Sobhani,Healthcare
Farmacia Del Cervo,Healthcare
1 Stop Covid Shop,Healthcare
Fortius Clinic,Healthcare
GI Doctors,Healthcare
Andrology,Healthcare
Pharmacie,Healthcare
E-Line Orthodontics,Healthcare
Knightsbridge Dental Care,Healthcare
Nicole Hiebner,Healthcare
Worldwide Insurance,Healthcare
One Heart,Healthcare
HCA International,Healthcare
Portobello London,Healthcare
Harley Street Clinic,Healthcare
Medserv,Healthcare
Madesil Pharmacie,Healthcare
Speck,Healthcare
Functional Therapy,Healthcare
GOCARDLESS,Healthcare
BUPA CENTRAL A/C,Healthcare
Richie Bezuidenhout,Healthcare
Unknown,Healthcare
TRX Training,Healthcare
L P Limited,Healthcare
Dr Maciej Kargol,Healthcare
OneWelbeck Endoscopy Centre,Healthcare
The London Clinic,Healthcare
Wigmore Pharamcy,Healthcare
